,label,text,clean_text
309,Real,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,suburbs inundated former residents atlanta housing projects absolutely
310,Real,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",july  mitt romney helped locate missing teenage daughter partner bain capital
311,Fake,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,blames mike mcintyre nancy pelosi second straight year costofliving increases social security beneficiaries
312,Fake,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,government going right get bank account health care bill make transfers without knowing
313,Real,There are mechanisms in place to shut down the Internet privately.,mechanisms place shut internet privately
314,Fake,The American people support defunding Obamacare and oppose shutting down the government.,american people support defunding obamacare oppose shutting government
315,Real,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,report #gop insisting changes social security part #fiscalcliff false btw changes supported barackobama
316,Real,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",nobody played clips president obama saying bring knife fight well bring gun
317,Fake,The people of Rhode Island dont want same-sex marriage.,people rhode island dont want samesex marriage
318,Real,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",rep paul ryans medicare plan lines pockets private insurance companies increases costs seniors reduce deficit
319,Fake,This year in Congress (Connie Mack IV) has missed almost half of his votes.,year congress connie mack iv missed almost half votes
320,Fake,"1/3 of our kids drop out (of high school), cannot go to college or start a career.",kids drop high school cannot go college start career
321,Fake,Not even old Gen. Eisenhower saluted military personnel as president.,even old gen eisenhower saluted military personnel president
322,Real,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",wisconsins governor cuts perquisites much plans would still leave workers better private sector counterparts
323,Fake,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",cant get airplane  people list able buy gun
324,Fake,74 percent of Republicans support the Affordable Care Act.,percent republicans support affordable care act
325,Real,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",every  spent afterschool programs save  almost  crime costs line
326,Real,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",federal government  trillion cash flow pay bills wont default
327,Fake,Says Alex Sink failed Florida homeowners by using predatory lending practices.,says alex sink failed florida homeowners using predatory lending practices
328,Fake,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.,percent small midsize banks loan money small businesses wiped since doddfrank passed
329,Fake,You cant check out a library book without a photo ID.,cant check library book without photo id
330,Fake,Says that Starbucks took Christmas off of their brand new cups.,says starbucks took christmas brand new cups
331,Real,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,atmospheric conditions could push footballs pressure approximately oneandahalf pounds per square inch
332,Fake,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",hillary clinton supports unlimited abortion demand moment birth including partialbirth abortion taxpayer funding
333,Real,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",legislation cleared georgia house children legal refugees could obtain state scholarships attend private schools
334,Real,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",went losing  million jobs last six months bush administration adding almost  private sector jobs first six months year
335,Real,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,star ohio fund received highest possible credit rating one funds receive
336,Real,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",taxpayers hook  less third proposed new atlanta falcons stadium funds repaid money comes outsiders
337,Real,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.",last  months businesses created  million jobs last year created jobs since
338,Real,"Every year, more than $40 million are leaving Missouri for the Lone Star State.",every year  million leaving missouri lone star state
339,Real,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,college loan loan united states cannot refinance interest rates go
340,Real,The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,house representatives never passed resolution disapproval condemn members behavior
341,Real,"We are younger than our competitors, and this is entirely because of immigration.",younger competitors entirely immigration
342,Real,Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,recent international reports show united states near bottom among industrialized nations academic achievement
343,Real,"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",says  million people country cant find fulltime job  million cant see doctor theyre sick  million people need government help feed  million families owe value home
344,Real,"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",policy mistakes  clintons made got us large degree situation today mass incarceration
345,Fake,Says he raised average family income by 50 percent during his tenure as Arkansas governor.,says raised average family income  percent tenure arkansas governor
346,Real,They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,tried give us  million build highspeed train goes  miles hour
347,Real,"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.",says cbo estimates fully extending bush tax cuts would add  million jobs   million jobs
348,Real,President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,president reagan raised debt ceiling  times george bush seven times
349,Real,"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.",according david cay johnston average american pays  percent income federal taxes richest  americans pay  percent income federal taxes
350,Fake,"Most young Americans right now, theyre not covered by health insurance.",young americans right theyre covered health insurance
351,Real,"In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent.",corporate income tax accounted  percent federal tax revenue today despite recordbreaking profits corporate taxes bring less  percent
352,Real,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.",last  years texas created  percent net new jobs nationwide
353,Fake,Says two-thirds of groups targeted for IRS scrutiny were not conservative.,says twothirds groups targeted irs scrutiny conservative
354,Fake,"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.",class  patrice lumumba university moscow mahmoud abbas one members class ali khamenei thats first established relationships young vladimir putin
355,Real,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",last week texas state board education sboe led rick perrys appointee voted remove thomas jefferson social studies textbook standards thats right thomas jefferson deleted list historical figures inspired political change
356,Fake,"As a U.S. senator with salary and perks, ‪#Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.",us senator salary perks #bernie top  percent still paid  percent taxes last year
357,Real,"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",know cant pull truth matter started today would take one year one year get  troops physically iraq logistically
358,Real,"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.",richest  americans increased net wealth  billion yet republican budget would require americans contribute one penny deficit reduction
359,Real,"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.",says foster mayor rick kriseman ineffective florida house representatives legislation passed house krisemans name
360,Real,Says Texas routinely gets a lot more federal spending than it pays in taxes.,says texas routinely gets lot federal spending pays taxes
361,Fake,Cell phone numbers go public this month.,cell phone numbers go public month
362,Fake,Says it has offered $12 million in savings through 2011 and $184 million in savings over the next 25 years in contract negotiations with the City of Milwaukee.,says offered  million savings   million savings next  years contract negotiations city milwaukee
363,Fake,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.,clackamas county commissioners approved renegotiated agreement lower countys contribution trimets portlandmilwaukie light rail project  million  million
364,Real,Says Texas has 11 different felonies you can commit with an oyster.,says texas  different felonies commit oyster
365,Fake,The Obama administration is unwinding our nations welfare-to-work requirements.,obama administration unwinding nations welfaretowork requirements
366,Real,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.",electric car sales georgia dropped dramatically since  tax credit eliminated  annual registration fee imposed july
367,Real,The Redskins Training Camp deal generated $40 million in new private investment in the city.,redskins training camp deal generated  million new private investment city
368,Real,The GOP budget plan would cut nearly a million jobs.,gop budget plan would cut nearly million jobs
369,Real,There are more people living in this country who were not born here than at anytime in the history of the country.,people living country born anytime history country
370,Real,Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.,says hillary clinton defended syrias president assad possible reformer start countrys civil war
371,Real,"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",postal services financial losses result  law drains  billion year post office revenue postal service forced overpay billions federal accounts
372,Real,As many as six federal department budget bills have been delayed because of opposition to amendments that would ban Confederate battle flag sales at federal building gift shops.,many six federal department budget bills delayed opposition amendments would ban confederate battle flag sales federal building gift shops
373,Fake,"Shes voted for 60 tax increases, hurting the middle class and small businesses.",shes voted  tax increases hurting middle class small businesses
374,Fake,"Now, in the House of Representatives, we have 40 different jobs bills that have passed and almost all of them have been bipartisan.",house representatives  different jobs bills passed almost bipartisan
375,Fake,"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.",sheila jackson lee texas said hey wrinkly whiteaged hasbeens time die let next generation spot planet
376,Fake,"Republican (small business tax cut) bill spends $80 million for better Google searches, not job creation",republican small business tax cut bill spends  million better google searches job creation
377,Real,A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.,state law would allow operator iron ore mine northern wisconsin fill pristine streams ponds mine waste
378,Fake,America is one of the highest-taxed nations in the world.,america one highesttaxed nations world
379,Fake,"If black America were a country, itd be the 15th wealthiest nation in the world.",black america country itd th wealthiest nation world
380,Real,"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",since republicans took  election graduation rate wisconsin gone  percent  percent black graduation rate gone  percent  percent latino graduation rate gone  percent  percent
381,Fake,"It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows.",estimated nearly  percent guns sold america sold private unlicensed sellers either online gun shows
382,Real,2008 was the deadliest year of the war (in Afghanistan) for American forces.,deadliest year war afghanistan american forces
383,Real,"Florida teachers are ""already paid $5,000 below the national average.""",florida teachers already paid  national average
384,Real,"Since Rick Perry became governor, Texas has gone from 46th in the country to 50th in the population that graduates from high school.",since rick perry became governor texas gone th country th population graduates high school
385,Real,Says Amanda Fritz manages less than 5 percent of city operations.,says amanda fritz manages less  percent city operations
386,Real,The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.,streetcar project planned mayor tom barrett would style trolley
387,Real,"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",americans last  years doubled amount money spending per child education results gotten worse better
388,Fake,Polls show that Floridians dont want to repeal the Affordable Care Act.,polls show floridians dont want repeal affordable care act
389,Fake,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,says congressman bill pascrell voted remove public option affordable health care act
390,Real,"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",lawmakers paid offseason efforts first time take lead drawing borders two wouldbe cities
391,Fake,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.,greg abbott surrogates referred women victims rape incest though somehow confronting minor issue
392,Real,On offshore drilling for energy,offshore drilling energy
393,Fake,"Under a proposed medical marijuana amendment in Florida, you dont get refills -- you get it forever.",proposed medical marijuana amendment florida dont get refills  get forever
394,Fake,"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""",datastoring microchip would implanted majority people opt become covered public health care option
395,Real,"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.",enacting righttocarry act would amount expanding rights sex offenders terrorists child predators abusers carry concealed weapons across state lines
396,Real,I haven't missed a vote since 1993.,havent missed vote since
397,Fake,Says the treasurers office has saved $37 million in management costs for the oversight of public investments.,says treasurers office saved  million management costs oversight public investments
398,Real,Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.,says georgia send state money per child state charter schools budget cuts applied charter schools
399,Fake,Jorge Elorza wants to impose a municipal income tax.,jorge elorza wants impose municipal income tax
400,Fake,The Supreme Court cant overrule the other two branchesof government.,supreme court cant overrule two branchesof government
401,Fake,Roughly 25% of RI has a criminal record,roughly  ri criminal record
402,Real,"Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.",nathan deal cut hope scholarship program literally  georgians able go college get technical training badly needed raise  know give chance good job
403,Real,"As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.",governor arkansas cut taxes fees almost  times saving taxpayers almost million left surplus nearly million
404,Real,I havent raised taxes in the time Ive been the governor of New Jersey.,havent raised taxes time ive governor new jersey
405,Fake,Massachusetts public schools teach kids as young as kindergartners about gay marriage.,massachusetts public schools teach kids young kindergartners gay marriage
406,Fake,I'm probably one of the four or five best-known Americans in the world.,im probably one four five bestknown americans world
407,Fake,We are accepting more legal immigrants than we ever have in the history (of the United States.),accepting legal immigrants ever history united states
408,Real,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,congress bewildered scope reach spying apparatus   explicitly rejected amendment calling disclosure
409,Real,Six people in Florida die as a result of (not expanding Medicaid) every day.,six people florida die result expanding medicaid every day
410,Real,Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.,gov maggie hassans budget proposal raises taxes small businesses increases taxes fees  million
411,Fake,Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery.,washington would politicians spend  million teach moroccans make pottery
412,Real,"Hillary Clinton ""starts off with 47 percent of the country against her.""",hillary clinton starts  percent country
413,Fake,SaysRand Paulhas put out budgets to cut the military in half.,saysrand paulhas put budgets cut military half
414,Real,Groups that receive foreign money are spending huge sums to influence American elections.,groups receive foreign money spending huge sums influence american elections
415,Real,Says legislative cuts mean Texas is spending on average $500 less per student.,says legislative cuts mean texas spending average  less per student
416,Real,"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",current rate president obama added debt united state america end first term previous  presidents  combined
417,Real,We know that Saudi Arabia started al-Qaida.,know saudi arabia started alqaida
418,Real,Says Williamson County Attorney Jana Duty has never prosecuted a single adult felony case.,says williamson county attorney jana duty never prosecuted single adult felony case
419,Fake,"The fundraising numbers are in, and our grassroots support is unmatched!",fundraising numbers grassroots support unmatched
420,Real,Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job.,issue  makes illegal us negotiate enough firefighters job
421,Real,"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a shrinking of the actual labor force.",says although unemployment rate seems improving reflect real job creation  caused shrinking actual labor force
422,Fake,Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.,gov scott walker hired convicted assembly speaker scott jensen oversee raid state employee retirement system help balance state budget
423,Fake,"Obama voted ""to cut off funding for our American troops on the battlefield.""",obama voted cut funding american troops battlefield
424,Real,"In general, it appears Wisconsins right to work bill would likely apply to the Green Bay Packers players and their union.",general appears wisconsins right work bill would likely apply green bay packers players union
425,Real,"The so-called defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.",socalled defense minister peoples republic donetsk  actually posted bragging social media posting shot military transport became apparent civilian pulled social media
426,Real,Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.,democrats kind falling seeing raise taxes faster looks like theyre going raise taxes anywhere   percent
427,Real,"Right now one of our highest job growth sectors is Leisure and Hospitality. Weve added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs.",right one highest job growth sectors leisure hospitality weve added jobs mostly fall within restaurant bar sector industry highpaying jobs us department labor estimates industry sector lowest average wages lowest proportion workforce earning minimum subminimum wage jobs
428,Fake,"Gov. Scott Walker bought 80 new, brand-new vehicles for the state that we probably dont need.",gov scott walker bought  new brandnew vehicles state probably dont need
429,Real,"Says he passed eight measures, including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas.",says passed eight measures including ones prevent groping airport security checks bar sanctuary cities texas
430,Fake,Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,gotten point average federal worker makes twice much average private sector worker
431,Fake,These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,political appointees ipab make major health care decisions  million americans
432,Fake,Says stores will be barred from selling 100-watt light bulbs as of 2012.,says stores barred selling watt light bulbs
433,Real,"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.",last three presidents go back early find three presidents row consecutively reelected
434,Fake,Jason Carter supports using Georgia tax dollars to promote Obamacare,jason carter supports using georgia tax dollars promote obamacare
435,Real,"The most recent Associated Press poll has Nader-Gonzalez at 6 percent, without any national coverage, against McCain and Obama.",recent associated press poll nadergonzalez  percent without national coverage mccain obama
436,Real,"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.",dan patrick said women get paid less man job thats problem
437,Real,"Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.",weve got average  soldiers committing suicide thats  day
438,Fake,"There have even been Republican congressmen who have said, If you give us more money we dont know where we would even put additional Border Patrol agents.",even republican congressmen said give us money dont know would even put additional border patrol agents
439,Real,"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.",today first time fifteen years master locks unionized plant milwaukee running full capacity
440,Real,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,tom reed actually voted every single trade deal ever come form
441,Fake,"ISIS camp a few miles from Texas, Mexican authorities confirm.",isis camp miles texas mexican authorities confirm
442,Fake,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,new federal projections estimate health care overhaul cost  trillion  years  well  billion democrats originally claimed
443,Fake,Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.,say new jersey reps donald payne frank pallone socialists openly serving us congress
444,Fake,The unemployment rate may be as high as 42 percent.,unemployment rate may high  percent
445,Real,"Common Core is not from the federal government, they do not have their fingerprints on this thing at all.",common core federal government fingerprints thing
446,Fake,Social Security is indeed a Ponzi scheme.,social security indeed ponzi scheme
447,Fake,"Says Scott Walker brags a lot about having an independent agency investigate police shootings. Of course, he didnt fund it.",says scott walker brags lot independent agency investigate police shootings course didnt fund
448,Real,What the Arizona law does is make a state crime out of something that already is... a federal crime.,arizona law make state crime something already federal crime
449,Fake,"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open.",country founded congress exactly attitude sanctity christmas celebrations eleven today yeah open
450,Real,"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.",miamidade county spend school system  million every year educating recent immigrants
451,Fake,The omnibus bill has only $3.8 billion in earmarks.,omnibus bill  billion earmarks
452,Real,Trump proposed enacting the largest tax increase in American history.,trump proposed enacting largest tax increase american history
453,Real,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",senator mccain talking tough earmarks thats good earmarks account billion budget
454,Real,"Kim Myers voted repeatedly to raise taxes on the people of Broome County, but made millions off of tax savings when her family business relocated its headquarters.",kim myers voted repeatedly raise taxes people broome county made millions tax savings family business relocated headquarters
455,Real,"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.",californias prop  would requirecondom usein adult films would put workers adult film industry riskfor lawsuits harassment
456,Real,We pay among the highest tolls in the nation for the privilege of crossing that bridge.,pay among highest tolls nation privilege crossing bridge
457,Real,"Sens. Isaksons, Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.",sens isaksons chambliss votes unemployment insurance votes kill nearly  georgia jobs
458,Fake,Says real estate taxes were put in place to pay for Obamacare.,says real estate taxes put place pay obamacare
459,Real,Says today unemployment has been running near 12 percent or more for the last four years and the Legislature hasnt done much to lower it.,says today unemployment running near  percent last four years legislature hasnt done much lower
460,Fake,Says Kay Bailey Hutchison voted for sanctuary cities.,says kay bailey hutchison voted sanctuary cities
461,Real,John Mica voted to borrow $10 trillion.,john mica voted borrow  trillion
462,Fake,Says opponent Mary Burke told reporters she would have required workers to give up bargained-for healthcare and retirement benefits like Gov. Walker.,says opponent mary burke told reporters would required workers give bargainedfor healthcare retirement benefits like gov walker
463,Real,"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""",mccain hired biggest lobbyists washington run campaign
464,Fake,We do not want to raise anybodys tax rates. Thats never been on the table.,want raise anybodys tax rates thats never table
465,Real,"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue.",terrorists killed  americans lebanon ronald reagan democrats didnt make partisan issue
466,Real,"This is the first time a party has picked up multiple seats during a regular election since the mid 1980s, making this the largest majority of any party in more than 25 years.",first time party picked multiple seats regular election since mid making largest majority party  years
467,Fake,John wasn't this raging populist four years ago when he ran for president.,john wasnt raging populist four years ago ran president
468,Real,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,house republicans complained didnt enough time consider constitutional ban oil drilling shoved proposal days open state waters oil drilling
469,Fake,Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,says one bush family attended  republican national convention president bush  convention
470,Fake,Crime is rising.,crime rising
471,Real,"(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.",flint mich paying three times poison water paying burlington vt clean water
472,Fake,Weve got a personal tax system thats so complicated it costs Americans about $500 billion a year to comply with the current tax code.,weve got personal tax system thats complicated costs americans  billion year comply current tax code
473,Fake,"Says a Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah.",says portland school gives muslim students school provided prayer room prayer rugs lets class five times day pray allah
474,Fake,"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.",texas republicans believe abolishing social security abolishing va health care
475,Real,The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.,bulk people shot weapon drug gangs taking one another end shot weapon
476,Fake,"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.",case general motors bush administration wrote check without asking conditions change
477,Real,Salaries for URI faculty are second to last among New England land grant universities and in lowest 20 percent of major U.S. research institutions,salaries uri faculty second last among new england land grant universities lowest  percent major us research institutions
478,Fake,Says Miami Congressman Carlos Curbelo supports drilling offshore and repeatedly voted against President Obamas ability to fight pollution and combat climate change.,says miami congressman carlos curbelo supports drilling offshore repeatedly voted president obamas ability fight pollution combat climate change
479,Fake,"When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.",president candidate obama asked disclose donors suspicion foreign source money campaign refused
480,Fake,Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,oregon state  states usa continues pay  medical benefits employees families
481,Fake,You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,wonder dont see rand paul much hes still shopping billionaire hes like one hasnt found billionaire fund super pac
482,Real,"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected.",says donald trump cashed sept collecting  federal funds intended help small businesses recover even though days attack trump said properties affected
483,Fake,"Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent.",three years ago newly elected president obama told america congress approved plan borrow nearly trillion dollars would hold unemployment  percent
484,Fake,An independent payment advisory board created by in the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.,independent payment advisory board created health care reform law like medicare irs power cut medicare order pay new government programs
485,Fake,The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.,mitchell park domes lose  millionplus every year number people going domes going
486,Fake,"Under a bill before the legislature, youd have to go to court to fire an employee.",bill legislature youd go court fire employee
487,Real,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,little evidence use red light cameras new jersey reduced number severity accidents intersections used
488,Real,"In the entire public school system in Camden last year, only three students graduated college ready.",entire public school system camden last year three students graduated college ready
489,Real,"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",says nearly  oregonians almost  percent homeowners  days delinquent mortgage
490,Fake,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",hate crimes bill pastor preacher priest rabbi imam gives sermon moral traditions sexual practices could found guilty federal crime
491,Fake,This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent.,president obama said jobless rate would passed stimulus  percent
492,Real,George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.,george allen colleagues senate turned biggest surplus history united states biggest deficit history united states
493,Real,Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,says president obama cracked employers attracting undocumented immigrants hiring previous president
494,Real,Says Newt Gingrich made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.,says newt gingrich made affirmative statement would support would campaign republicans support barbaric procedure known partialbirth abortion
495,Fake,U.S. global AIDS spending helped reduce political instability and violence by 40 percent in recipient nations.,us global aids spending helped reduce political instability violence  percent recipient nations
496,Real,"I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.",told congress thanks thanks bridge nowhere
497,Real,The actual (construction) contracts that weve awarded to date have come in several hundred million dollars below estimates.,actual construction contracts weve awarded date come several hundred million dollars estimates
498,Real,"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.",state school funding per pupil  percent compared  adjusting inflation
499,Real,Unemployment has fallen from 10 percent during the presidents first year in office to 8.5 percent today.,unemployment fallen  percent presidents first year office  percent today
500,Real,"American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year.",american voters remain steadfast support immigration reform path citizenship  percent want see reform passed year
501,Fake,There were more people on welfare than working in 2013.,people welfare working
502,Fake,"Says Tammy Baldwin introduced a bill that would require doctors and other health care workers to ask patients, including young children, whether they are gay, lesbian, bisexual, or if they know their gender identity.",says tammy baldwin introduced bill would require doctors health care workers ask patients including young children whether gay lesbian bisexual know gender identity
503,Real,Says State Rep. Kristi Thibaut was an ACORN lobbyist.,says state rep kristi thibaut acorn lobbyist
504,Real,Atlanta is the No. 1 trading point for sexual slavery in America. Between 100 and 200 girls are sold into slavery in Atlanta every month.,atlanta  trading point sexual slavery america   girls sold slavery atlanta every month
505,Real,"According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.",according national survey transit ridership among people age   increased  percent
506,Real,"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.",fiscal year   abortions paid taxpayers via oregon health plan
507,Fake,Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,legislative action taken could well rendered completely null void decision supreme court expected june
